Name	logFC	logCPM	LR	PValue	adj.p.value
1	PPARGC1A	1.18502308705383	4.63632857852837	151.909087863202	6.63277946618942e-35	2.40011546837041e-30
2	SLN	1.37479207492463	3.36618631464529	100.972634785773	9.3263063756613e-24	3.74976237489875e-20
3	MBNL1	1.0625753481247	3.99540437368773	100.861879615337	9.8626510823881e-24	3.82378504839573e-20
4	YWHAE	1.07831470630481	3.4420573424687	100.59262313292	1.12987771119314e-23	4.2295218859998e-20
5	KIAA0408	0.993846816714545	3.59238950874007	93.1362767465502	4.88147531291935e-22	1.05983663108917e-18
6	NEDD4	0.858232654783849	4.30216777713031	74.9229811062832	4.89439624831124e-18	4.18362971281829e-15
7	GBE1	0.975790371861944	3.66523773427118	74.8414267044535	5.10080832222983e-18	4.3170397629043e-15
8	MLIP	0.905831623627046	3.29207239153939	72.553376664738	1.62574820480375e-17	1.20058740046858e-14
9	UGP2	0.956028709587636	3.93151834528406	71.7834895955531	2.40153274307882e-17	1.72651119198945e-14
10	KLF9	1.22273186219971	3.39311671543902	70.4145926278646	4.80630751457413e-17	3.26098953037265e-14
11	PCF11	1.04696266703939	3.6143289316765	69.3827703070819	8.10939897330799e-17	5.20906523281299e-14
12	ATP1B1	1.4110010264737	2.83719425082103	69.2166315533564	8.82209612221695e-17	5.56802493453201e-14
13	TSC22D2	0.987739375449582	4.16492325731711	65.1589371221361	6.90943798915341e-16	3.60609547975253e-13
14	PK	0.916604559569134	3.96249980499538	64.9304967173421	7.75869596515663e-16	4.02995577937563e-13
15	RP11-18B3.3	1.19254382943618	2.33472775539922	63.4198242962276	1.67028571829887e-15	8.02306224430844e-13
16	POPDC3	1.03463549290237	2.60076457776908	60.518587786521	7.28869634004928e-15	3.07971805752129e-12
17	USP25	0.748382382144969	4.10049380960856	59.011664877536	1.56740022814276e-14	6.25559803553285e-12
18	CCT8	0.962353169204341	2.86020540865356	58.9939054674432	1.58161080844684e-14	6.28919137481917e-12
19	C1orf132	1.21267269827152	3.97582853704136	57.7040738696478	3.04671155732144e-14	1.12881183115407e-11
20	AP1S2	1.05889157785837	2.40060055759861	55.8980825378875	7.63269671304395e-14	2.53387113401958e-11
21	NRIP1	0.967868283860526	2.37588156033321	55.1996376668139	1.08888811163317e-13	3.41637071487173e-11
22	KLHL38	1.2676954742719	2.88207531123474	54.9027610838133	1.26642969114344e-13	3.85097501348624e-11
23	VPS8	0.528539150800918	4.90016572057385	52.6772142484856	3.93125633045787e-13	1.05634998382553e-10
24	SPAG9	0.592942313308163	4.92277119906365	52.3175035993801	4.72147285888309e-13	1.2440507988878e-10
25	TSNAX	1.15765079258672	1.82543402927066	51.2074783899555	8.31014403643594e-13	2.01817518157355e-10
26	TNPO1	0.795771318591939	3.57877337716249	50.8669776335531	9.88426058638078e-13	2.34280715387716e-10
27	SDCBP	0.668154058446567	3.7440272730984	50.5673858335289	1.15142650635871e-12	2.68807327421037e-10
28	KLF10	1.01877542722349	3.34996258087734	47.8736915091018	4.54580670862972e-12	9.1385025716429e-10
29	RASGRP3	0.626735642336373	4.34166566844648	47.4522139945132	5.63612530826395e-12	1.09452746885368e-09
30	BCL2L1	0.966175923805686	2.96982286165601	47.3173007360489	6.03769596061332e-12	1.16006046087841e-09
31	ABCD3	0.77544231335768	3.42457032406013	47.2744203541318	6.1712325254337e-12	1.17945508673152e-09
32	KIAA0907	0.942171914881568	2.53200457904721	44.2775405659308	2.849669460065e-11	4.53594673865507e-09
33	GLTSCR1L	0.913695643856172	3.8275738701846	42.3618023181034	7.58571852066645e-11	1.07224328834373e-08
34	YWHAG	1.04068453448871	2.12205670391329	41.8155390231321	1.00303096741178e-10	1.35094333411068e-08
35	KLF6	1.08879334795997	3.82546936547227	40.9258312810629	1.58117350380767e-10	2.00055305422901e-08
37	RP1-225E12.3	0.757804834049933	2.69972986297192	40.2784148175589	2.20228799593728e-10	2.65342705854566e-08
38	SLC7A6	0.732242112992415	3.61314132113968	40.2268292809125	2.26121410573613e-10	2.72140376581371e-08
39	CTDSP2	0.933925463253674	3.74359513989159	40.0407464574377	2.48720175608401e-10	2.95731830268578e-08
40	FYCO1	0.920827789323154	3.2335546592392	39.4378256046924	3.38672635285757e-10	3.85784735243609e-08
41	RBPJ	0.482806075327037	4.56785005575654	39.0657562282278	4.09768665917911e-10	4.56706951396824e-08
42	EXOC6	0.58768000318038	3.7463556819992	39.0442097099347	4.14316130828571e-10	4.61301704762638e-08
43	DHX8	0.726956546999758	3.14665760395163	38.3239819174748	5.99217003086219e-10	6.35246095742487e-08
44	AHCYL1	0.712464414003615	3.75455997949166	37.815177968915	7.77743078217673e-10	7.96504295679961e-08
